Index	p	result_a0	result_a1	sample_a0	sample_a1
565	405	936788804	690641719	1918542108	-1052520555
566	317	-396140880	1289262571	-557355905	-1711731035
567	70	-85942536	524993524	1204173096	-2062601952
568	346	2058903512	1032318718	-34441453	-1258169496
569	50	-307561476	1546108037	1535491089	2081263950
570	-176	-618830637	330625435	-96175088	2146733142
571	-443	-1432557668	-1995396304	-186656690	-900215804
572	-249	1315687851	981561321	-1893326985	103387564
573	181	-404614861	-266536136	-1236078948	-1807619186
574	-440	12044676	-1830123673	637415857	1796491066
575	269	-41594741	-1604189968	755429153	1991972068
576	270	610854401	-1521088520	-1548123365	-809421697
577	-370	967899178	1262282410	700672438	686874088
578	-123	-946744563	935806993	1073259146	1583146454
579	-286	-78046754	786900805	-1552847757	1076989689
580	154	-2145985023	1930285864	158480444	1890833692
581	-209	1785533973	330707962	-1154658395	-1206668587
582	90	-462651161	68540991	-163558342	-214010611
583	56	632110830	-71664418	-93572635	2071476379
584	297	1631474137	-1754811502	1770488066	1246803763
585	-375	1342972135	-1342248208	1138435830	-2077513128
586	213	122647673	557513225	2129942743	-1697476698
587	42	-2132136788	1122337905	1266109999	-1433472024
588	287	2079940131	-1145873275	-1698617074	487365637
589	-399	-901536582	521899828	-344076610	43959376
590	508	-1500680887	-2138564541	-2079028869	-182163586
591	-12	228831188	1792492622	-262442480	-136912722
592	286	-1281298438	931509392	-152324383	990647121
593	477	1769959809	134286085	-946627441	576125023
594	304	-706677487	352315676	1027162846	-892588674
595	-418	359751145	-174944184	431034367	-295760081
596	280	-1231343428	1283103576	1381869498	765462858
597	206	106660526	2052155545	-721466779	1871999831
598	-395	-1039050819	-1300710950	2007126339	1226345821
599	-458	-1574698341	-669524271	1182327682	-2127556151
600	147	-2089667061	-461483975	-976395980	2023467303
601	-271	691466360	1369314711	1507525771	-839847982
602	498	-408223938	2047627058	1891449288	-1811756075
603	-66	177129912	-2030804776	-1883128422	-683659454
604	414	-1270015480	-297511547	1585279690	837471005
605	-447	-1052689665	741940526	-1438781435	673035530
606	479	1808147353	-647167670	1463992996	-943402608
607	-348	-1959501608	308682286	1873480103	-1305133024
608	-114	625185740	246960767	587260828	2012210480
609	-354	1283021833	-829572629	-487784260	-503505481
610	334	-1479712659	1491252354	1313453516	1033559534
611	-303	34799466	398156349	1542147038	102908352
612	-374	2144096986	-1917018767	1642113536	-1693148055
613	470	67559019	-857320622	-603725881	1816293268
614	-356	1812269588	-2112417656	-1650231271	-568204788
615	-182	1310427091	-132437470	-496178521	-1967531909
616	208	-1148905744	-359923492	-422907583	454761820
617	72	-1196649670	1921712003	-1704494102	2114890189
618	190	1775912912	1765063286	369923465	1452875140
619	-138	-591151178	-201476355	-509019475	-734302051
620	256	1779394846	231370363	-1288962914	-478772095
621	232	893770778	-1306075754	-951452580	900648882
622	416	1075318028	2051025421	787625371	20256532
623	51	711403575	-724171310	-898949376	-596377307
624	-472	-263960285	177928041	1484675882	1742021368
625	11	2143770606	-1490270952	48099008	672518877
626	-182	-1344882104	361651797	1114144197	2121444640
627	302	128862574	-787880634	-1478014497	-427104506
628	322	-364084410	1113112698	1039728168	70467245
629	-46	1954081664	603585709	-250225391	296388547
630	-150	-1483584839	-1028700018	1704407601	1899459856
631	205	-1694334887	307851282	-1450510135	98058751
632	-268	1836181482	2091076504	307627091	-864710574
633	129	-97769533	-2090637249	1111687614	-62219747
634	-243	-1623819804	-1017783440	528983920	-1147750409
635	-448	-2083692102	778889879	-1729336447	475240165
636	219	-1910140689	-1411497984	148893069	1508391943
637	96	-376328048	-123134875	-1372840776	-1375814036
638	-436	-2128532205	1318301276	247578304	-227375439
639	374	-276616278	-186068761	1922018846	-1863377657
640	258	1277988812	-1748302435	358488522	-1177427990
641	-252	-1793542700	-1040107167	1402749533	124957706
642	411	-871129045	1305162034	610514024	1832133883
643	-85	-2132577953	1125870630	-554142534	1919988290
644	-397	-719581806	195228442	-2094513216	1836617742
645	206	-830071412	-1708777425	1275188203	-1074133612
646	-328	-877394478	1387588822	-1968185447	850610933
647	45	-1757203664	-426940313	-195149087	-1422216545
648	505	-679993007	-1898016266	-1856008574	1619198123
649	-104	-1496991684	-1356151986	-720773916	1474028361
650	505	1477050562	-1732127809	551729582	1914281001
651	382	27918223	650635804	-1580446967	-1238894653
652	177	1706267472	185557893	1092854671	-593012939
653	-283	-990189863	-357446133	-902198665	2032258637
654	102	1927018067	-1657558912	-1281493337	791609866
655	193	402333969	887852106	416376535	-622875932
656	-95	-785696010	-2046852838	-1968106283	-1898021403
657	293	-1897460354	-1969023014	1245499381	-1305052247
658	57	-1560017256	-73392922	1679707637	1751498919
659	151	2129017918	-1988960995	-659754758	-606151226
660	-422	1665044535	1987419248	1457767007	-2001694958
661	341	81185663	-1650879441	-1882319015	-2089333157
662	462	-41884961	-1214468288	-1180789126	-22712540
663	266	803092020	1788185324	1081528341	-1698560510
664	-91	-237541463	464349473	394925291	-784362483
665	-335	240285512	344284309	-1733004283	1548898313
666	-113	-1826843058	-834752185	1963354545	-93324088
667	-5	535716063	-1427697224	652052495	1064610010
668	508	412545287	353657428	-1417024968	1654711896
669	-388	-294411686	-1647530309	-1277154141	1998554221
670	-447	431479869	-1322616835	940705443	-1798179908
671	415	1961058485	1874189765	-727845106	-1048955467
672	-421	-1628760276	2103833813	1952078093	-579803904
673	-327	1570776429	488834692	1179071252	-484447913
674	27	11863733	489012818	1402085445	1981434070
675	-19	-901095775	-779047361	-821111143	-1039982824
676	-418	-67857218	-1625699102	1605486000	-2005640667
677	131	25649696	-847345870	-581038721	-913800577
678	95	-883331432	-969127472	165788522	-87251818
679	141	-451844780	706786696	1885529337	-1497376936
680	230	767292955	-1461039293	1152198557	1214967697
681	497	-1539001013	-2135871768	180691887	-382992683
682	40	-1372811367	-97762476	-974939756	-1855688014
683	-508	-1562107542	-1585258659	-1695470972	1295217260
684	-296	382055627	-1528705113	1600415261	-1153061344
685	458	1066919152	132033170	2012453032	647382007
686	-293	-36382	-1007170807	-73225074	2096540457
687	-180	-79848409	94068603	491897727	922774422
688	312	750463777	-439454283	-514495590	1782383660
689	-62	-269384041	-586033498	741015549	590256630
690	158	-1492631016	-1346196083	1481264183	-520929338
691	121	616914176	723976177	692307327	-915901360
692	290	-482998354	240830932	-207229857	401527590
693	-438	-580891077	-499995708	-1640525165	-1698587168
694	397	-1691189485	1534107503	1429736054	-983618301
695	-205	2073598475	-1939538593	1216145444	-2146137150
696	46	354996314	-881850095	-1806544400	-253478670
697	-94	581611230	563922788	-634254566	-618544287
698	50	403174186	-445159945	-1005598464	-700076956
699	-290	-1531544212	2121371800	-554733049	-1694387983
700	-403	1188083810	-691286630	2121071567	1961803326
701	416	-920442377	-337238306	-405545833	1436306804
702	-78	719450039	-1791895830	-1289397074	367549529
703	-240	-1504426492	430696483	-1586866135	1954823110
704	-272	-590304667	1223554865	1687665594	-1907635678
705	-269	918060801	636770402	-526785949	1863257183
706	-268	-1206935737	-2018107951	-629820879	-1434829734
707	-226	915450736	-963063661	-696198152	-1826434959
708	-305	-1446061030	2085849517	-1632869844	1106699001
709	356	-1647938851	399910056	1412268275	-379824943
710	-343	-1474029282	1964568632	-2113118429	-1599665438
711	-188	-1069027874	-1950567627	-673067853	-2092867634
712	-55	1979560428	-1309598898	-839267069	932451178
713	496	-1181043203	-1822733956	741778412	-163253740
714	105	-1134417602	2123083813	3100208	176798582
715	-96	143275806	835280939	-219650828	-1702738474
716	102	1341699999	-1032494237	-294748472	155023307
717	-405	1837484149	-1427259569	-1723103065	584035162
718	194	313825127	-1937285108	752188712	2124442410
719	-176	504833727	-1061052586	786150376	-1941989094
720	-359	-1663435348	-1705401996	85941554	1101963356
721	237	-418851782	803057339	681525076	-408486936
722	236	-1457739622	-319064006	1632146613	-1701470062
723	120	-581232236	-1002124081	1603765105	1274648894
724	490	1907958005	405865907	16119284	-798698909
725	319	821130677	788517214	-1377772051	-809590505
726	-208	-1822290511	141007502	-1913274914	1058666187
727	255	1277406920	-36712392	-73639440	1217374927
728	325	-110886359	1720595865	-915124081	-716117949
729	-459	-2074333828	-2119922219	945590675	-1917113797
730	158	-1520663078	-2028047622	586084637	-240028571
731	-330	858909559	832962309	-1171866188	507854885
732	178	1047726732	318928579	1919403172	1920397247
733	491	963227444	-1668232585	919203354	809539510
734	326	2016233451	640273058	-1216435228	278866572
735	-70	-1265182035	-1570228063	-1892428838	200960142
736	500	-846849580	-405404546	-656671925	-962077714
737	-464	1283825676	-424815827	1530856101	-700934113
738	133	2111337820	-1783198125	-245618728	-483058235
739	345	-1290527444	-709395687	1969737403	-169428329
740	249	-559242048	749802011	-1897403188	-920114739
741	-313	1770080383	-1858064207	-649048270	1682116377
742	-479	-1866714453	-2129481883	-1225940403	-1839342232
743	-465	-1953388220	-910863439	552147531	254400001
744	25	-567450599	-1086108597	-1393580138	1262101142
745	-315	-1469889803	1442472813	-1481104010	1936772955
746	-415	-384813028	1686629283	-477382179	393016148
747	-501	-692519802	-11720699	1161888684	695376239
748	387	-521883212	-896649057	2054170311	796276165
749	-96	-2083118011	-1050850688	1144088785	118527356
750	-285	-1512742245	2082492358	-831256913	123967226
751	-474	-840801340	69783383	-969934176	1743909068
752	-202	-1144282950	-1983520028	1007495375	2100456018
753	423	1200296951	-753368863	-887805838	805678641
754	-127	1122352613	722040302	-1726164929	1847990015
755	-176	-1024206484	-1712675617	1142697473	-593911949
756	-312	-1727239443	509473396	-1052656131	1585672878
757	-312	1341477693	2017758780	249092049	-96294458
758	-391	-267356351	-1726175466	1211443946	1940173438
759	138	848448125	492249762	-1050371427	-1696066979
760	477	-1645462469	936211196	57368670	-830716168
761	-137	815048545	-1654220280	944298428	-2093005042
762	74	745548090	-66585342	2063307194	-1271293107
763	-14	1775818934	-158027023	-100381604	820918691
764	-64	-158489672	1579922396	220444277	752517466
765	-105	506693856	-1011454142	-2147456120	882691058
766	316	-756406891	130577554	-1924639715	802887785
767	369	201485553	645143647	-1762049589	1322882010
768	-219	347923375	-77540105	1562166416	1543756004
769	-262	247143610	-1914598707	-1145058323	316227297
770	-319	326786917	1389384535	345170101	610615606
771	-202	1338681845	386004934	28575829	-4144638
772	-121	-221838276	905931801	1579754918	-1237159059
773	-18	488916399	753061059	-164565525	-1956756992
774	-482	717467995	824902738	-1932828381	97623272
775	-410	-1197235750	1855240556	-381568827	-2031937254
776	-91	1840668723	-1782823885	-1984544475	1491301568
777	304	1334584111	-1859307174	-966723049	135680465
778	468	-379051004	-1125285553	-750335388	1123013062
779	-432	-1803466344	-1809338736	2061608209	1429723752
780	327	1460506856	-973405466	-1270738219	1857955424
781	-413	-258287311	2042038296	-1862338038	-1278052364
782	-26	-388801986	23056413	2082354102	-307439653
783	366	399034786	2019102795	-1927275195	-277428301
784	-65	-1876332356	-1089581087	2082170439	1353112775
785	438	-1386675878	117330228	-479489640	274571239
786	-510	-424056454	742134519	1245352664	1387595767
787	488	-1932808721	-1117311956	591359135	8355072
788	-291	-812324963	-1065958346	-2124356518	-1935441049
789	-458	-937538276	1705609391	-734788907	435178633
790	-456	1175988474	1339666277	-678259318	-812747787
791	100	-721039233	-518445738	-1635756502	1409429326
792	-143	361723757	1117254456	1565762708	-1157522423
793	-37	1261929187	1736934866	-511127671	1297073016
794	-44	-1904641220	-1391965596	1861664770	1332220765
795	-120	947165748	1506271223	-1064143274	808611604
796	-33	832197544	-1111640239	1575583560	477673810
797	131	1827063115	-528113487	-189517534	1792869239
798	186	-806959315	-1666259789	-115119131	-627747235
799	355	-1828690980	-1054205570	-1291985918	1554820693
800	459	-1813867196	938429666	638312503	509680756
801	34	-517706398	-995546081	2011771887	1297230115
802	-426	-1454181149	675686088	-540335003	-1617931834
803	196	-1504248447	-1054182587	-1906698161	1750329520
804	-162	562517924	-487071210	1091980179	1170592370
805	249	-161441400	1479022904	-351216410	981383021
806	346	388499404	468363481	-1004824431	-1977298862
807	-430	1116873662	-392111297	170178194	114026263
808	474	-1684340077	2024411534	1083501579	-465335418
809	-355	-269340902	1815300945	1674862573	-1414771262
810	205	-1615933401	578743164	-663989771	519604944
811	-197	33668075	973254355	936406178	-1730254995
812	212	1391412198	1438232375	1830363407	-1501731953
813	-7	-2096391458	-88063797	-1182010797	-1021162046
814	336	-253613340	-1625127445	-1150289962	-1748046656
815	-98	-92478088	1100740562	2015002863	-1360224509
816	254	417159505	1916284363	-1941795955	1934477970
817	440	-1186038659	-1390561022	-25490486	426420132
818	-275	-93965727	43508040	248981895	-930270381
819	297	-1365408148	1696574995	323426983	1374328760
820	-469	-1797937041	842183837	-1365261025	216499635
821	352	-409115359	-492520053	597996362	-1489281247
822	306	-1542687830	-795705355	-1782940757	757519189
823	-224	1771374126	1472963313	-650702296	220011630
824	383	1392495427	1772683182	1089967618	1709111444
825	-494	-616236766	-1988305834	30083916	2031297151
826	78	-1871417263	97056108	352054544	1468894827
827	426	-552760888	2101296255	-1249568418	1095964461
828	123	1314114716	-269633246	914398915	1684230178
829	296	-2115558554	-1179144377	331194462	-186697222
830	-105	-1998557021	-415653769	-1349995653	1646922497
831	168	-740986404	-1967756790	138654872	972137182
832	-32	397886158	2133546702	-917475459	-484935549
833	229	-1117547891	-1461444301	1525957575	984987399
834	347	-699845538	1488450649	986311653	458471906
835	66	297217943	1103115565	-751482996	1744481158
836	369	1448509362	-629339694	305019408	-1784407046
837	-393	1288126102	-349856735	-722260276	-479792205
838	453	20259221	959140239	-1944841082	-742180379
839	367	-1272480515	215785396	-1958813443	-27778297
840	-411	2055134948	-888612112	1257900424	-2089274065
841	-285	-51437121	-1433983053	1696755151	-330790423
842	211	-1054106814	-1597766545	2099546250	-759496845
843	338	-130257755	-2121784881	-1685622366	1440422802
844	-132	-1138155727	-122798034	812357725	1022465008
845	287	-1694186871	-126808668	279637024	1989630877
846	-325	1240732662	-2070871649	31161828	-1341204438
847	155	160289250	-1054185238	1930858876	1209455498
848	-170	-164017129	-198061075	344141686	1692842630
849	438	755906148	-1284619115	1243207066	-1841291952
850	92	832083128	-489744062	1944283721	817156121
851	499	376240195	-1604531882	425178971	-149097293
852	-174	-1114008312	1354105082	1728597176	-1340127829
853	346	-2087422611	-2024576708	1108481265	7419186
854	332	1241007362	1191189734	409852151	741356215
855	11	-1417577152	-1446837099	1724155228	1181990548
856	-18	2000739139	-378468329	-1110075839	-1658849597
857	184	-1035504926	1554464070	-580151175	-74411783
858	384	2079522063	-2049110889	1964768461	-376955796
859	295	1989263580	-1952835807	-68706272	-963439556
860	317	1674871163	488405386	-1690858142	-1921243160
861	-366	1410134265	-1378945192	54034800	-841497197
862	-478	1491555104	366623120	514602344	-1998243544
863	-100	-506982402	-825655659	1068721262	1178802212
864	47	1131488749	-188383164	-1418055121	609232518
865	163	-501647024	-1870879863	-1854578342	-2112908077
866	-314	1294939494	524124155	468527388	629806776
867	348	924795707	-1082937888	-661640774	1775802318
868	4	-1364541860	995004665	-781110309	673081459
869	-287	62948981	1157833739	1603730359	-1134087737
870	129	-586693418	439780005	1278867967	-597616479
871	79	1075728612	1851880404	328938196	-227411640
872	-250	1341500136	713388293	284019007	-219589569
873	419	861917008	-1908261986	870305245	-235969894
874	-116	1869884746	1744279680	-1436001366	1793169392
875	166	-1540418763	774807726	-410448017	1521403407
876	119	-1470933305	-1053508037	1659000066	-1921710392
877	-340	123295263	736691160	1090624199	266342347
878	390	200478140	-1962444561	486374430	-734871214
879	116	1330104455	-2084970496	271026615	1391457506
880	-350	-1282951873	451216087	-301414694	-1611121351
881	150	-1825445761	1369275774	-1931733923	700350495
882	299	-633244621	-559490424	1611759844	1725974210
883	0	-964668418	122328149	-1519671021	1159336011
884	327	-652056131	-359966601	978111021	-1779003959
885	-288	1828628324	350102797	-740006993	1353212883
886	-58	-1452721958	1152579779	415280539	-974984689
887	-421	673810393	-230299106	-99696392	1931221753
888	-228	-349494748	-769790628	-914380608	65387592
889	-123	1822378559	1715005878	923109791	973218191
890	-484	1846664727	1119518187	1108217163	854757459
891	-57	-629315203	-1381774957	-433946113	718761632
892	48	-568876359	965060956	-804875105	-705776617
893	262	335307216	2028196791	1776291454	-1012547104
894	-273	23344420	-1611441074	228187497	-135806056
895	84	1569651062	-2089812340	2100844775	159646023
896	-56	183542389	187063085	1246377023	426028947
897	472	-389175293	-229119096	413385452	-988973126
898	456	1566391076	-1943151225	-1285792130	1603845683
899	-502	-838451210	-990134047	-287642112	1846967608
900	-90	2040490651	1433756393	-1212374469	-1193192360
901	-476	337465066	-1693151949	450047946	373821950
902	239	1439447849	-395309465	-494289565	308311870
903	-113	1494292245	-1925495145	388109942	-1398538061
904	459	-625971250	328046466	1549765721	1318386705
905	-19	720224620	774313021	-1127315858	1919644914
906	43	-244348963	128528761	-508867948	-1797253202
907	438	-966469456	-1567280277	1989007598	-2027894197
908	-29	329439878	-2061659810	-868886097	-1323548026
909	-315	-93934501	1239055748	-210884378	450772082
910	-136	563953241	1785103789	1346489828	-548060732
911	-371	1180897828	1358193492	-1874740948	-251662338
912	-91	114694824	2044757108	1335161309	-102763520
913	358	542723945	646243304	1706836930	691878392
914	-272	-2061925481	2008408299	1906719876	-332715603
915	457	325605148	328781402	95376751	1526337608
916	-381	-1242144734	1576390102	561427134	41138263
917	222	-1557754596	1990983479	-1284848241	592043718
918	-456	1174385459	1490486750	-982908048	369810564
919	-130	237896717	-1067046444	1462519040	326220006
920	-361	-1105792257	1986623995	-2075585382	1306312135
921	-7	-1879299477	680958759	-763178366	-2087687939
922	508	-332284230	-930482353	-2060038567	-357928576
923	-381	1740551858	-790637309	1439410611	1530876624
924	-482	1959113184	-743028468	849022347	1834564631
925	366	-711607141	397661107	-357648513	-1067122773
926	-479	258948142	1381638566	531770198	83777402
927	411	1878549064	-2098860153	-340141775	549356574
928	-89	-1997862042	556677429	-126971993	-872419507
929	332	897781513	381028305	-1830244503	1016964368
930	424	817581420	1216292392	-1794904653	-1667143231
931	92	-5125426	1452499780	600389734	-2124525709
932	353	-1831858130	-536160369	629762805	1470777776
933	452	244363702	422270700	2082375943	-1358304379
934	5	883145818	-1338612578	41604029	-1489252784
935	-424	-2009141477	1936912118	745429171	-1484882268
936	-121	1170945961	-1344011420	-503912611	1720918336
937	-283	-2013422259	1785225412	-11407793	-580918636
938	-429	-1727917141	126163901	328339214	1694515936
939	-29	-1296615699	1061269025	1704935132	719487785
940	66	247641119	-996686867	1257288400	-603278973
941	26	876340646	-1331414739	-883316247	-1080650638
942	-217	-937513061	-703352878	-642904748	-1290696644
943	-99	1117514839	-1132260421	1555671286	327443842
944	178	1081156116	1979348290	-1217863008	1540752589
945	-282	481199587	904449156	1995812032	842202655
946	300	-1506328863	1276493078	-1616174342	1200236832
947	226	-927678901	-1882649125	-2012925603	-80589868
948	393	1487526050	2019614234	-541796344	1246534818
949	-285	1268142427	-1163686991	571354669	-483211673
950	290	1981629939	1785581727	1718296662	661024002
951	289	461827120	-45213994	-670274538	230142314
952	-217	-639316313	1073353103	-1963072903	-690967556
953	223	812305215	1000388328	-775947602	2011917833
954	435	-1638427218	-901987527	-40798545	-190001331
955	13	258883285	915657395	-735158679	-974350781
956	-485	-511359979	-665455630	1488557533	1221413238
957	-396	1508992308	920531090	-409564740	1982705378
958	-189	1960323213	1567227973	562736515	-38032303
959	49	348460686	730479079	-246730719	-655175935
960	-88	265222994	-785598109	-1936208263	-1206069555
961	-60	1362139003	2078808188	2069172799	-857731319
962	-323	433848295	-319804689	-727830162	-1252198847
963	-366	-781454334	-314954582	210742870	2030421719
964	430	1908849247	-1093332837	818956177	2075547716
965	481	-1107230924	1170508149	1080993269	-971965831
966	-269	1370273095	-196175882	-7464482	-1503971808
967	76	-126810345	1257787953	1741955191	1037185410
968	305	206617215	1943420542	-1582136994	2124760519
969	109	201942828	624563536	1144260236	613327626
970	-511	-1404483460	1381079886	1928935888	1537535769
971	60	-546882374	-1397713312	1228591736	246479201
972	-67	-117202325	-1162762303	1887694375	-1553147263
973	-269	1700729057	-1941677833	976863358	1588367814
974	428	-1097640734	-2144130582	-377872675	-1714253623
975	447	-1950852584	-1338485146	845752212	-427793320
976	-302	-887158415	-1301799839	-690880739	-1287812112
977	143	286806320	1573646641	-361678921	1488081148
978	203	1977101806	1197435939	2097508728	1194407757
979	-449	103946256	-880491475	394571563	264387419
980	508	-348718926	-568351754	-2027599652	-1300587044
981	-512	-670285749	-1510813866	-431339321	-120331462
982	-195	363279612	-1281063251	-2062528340	-1948641433
983	228	1504001284	1060777463	1461249658	-1736711237
984	122	1788869387	-1878309297	-1432604616	891403288
985	-365	863389871	1644755675	-440754149	741166039
986	-125	1970263421	-1987934153	834709816	-169192387
987	-351	-819373880	1375831073	-454606035	-271982475
988	407	-1014178475	-1570914322	-123178035	-1909284468
989	-7	1566824883	1864475993	259470435	-1085207227
990	-444	-1510841246	1959659023	2105979688	221667667
991	487	-1109768398	-1704170291	-1227139360	1353653225
992	-7	207607478	2099452877	-934492250	-1051323100
993	-503	-41017257	-1707936881	-727685933	119400615
994	451	-498315210	1515523183	1606343502	2007589255
995	460	680527991	1357323120	1036431267	-2006428754
996	253	-1563452892	345494826	1757098455	1143705710
997	-308	-879984892	-1532796146	1211587328	409373129
998	-336	219299258	1267636170	-725801729	-898775838
999	154	770140935	245027728	429346012	309959355
1000	96	-1275498478	-480623507	-1801346489	2103395364
1001	220	239528399	2114428731	-1937871907	-2051453141
1002	142	1623040486	-256626995	1957465747	-1993449233
1003	77	-751381642	-7684306	1229400237	968152375
1004	225	-1811313357	-799087092	564187363	99134362
1005	-63	549145684	551198580	476653305	-963856164
1006	347	-855593844	-499563614	1815575802	1422606377
1007	207	-1286893967	713768807	1279789667	192173909
1008	234	-2018909830	-410186844	-1116106013	-195984916
1009	-475	-1726156306	158231286	-327585483	-376057327
1010	338	-404611668	1145976949	-1285387528	-652973435
1011	-356	-1020553281	1854724878	-165048272	-928191209
1012	-207	-1439217975	-1447448803	-800272884	291662614
1013	-55	1337038515	1911341222	-1941451844	1522896411
1014	82	-1778644832	28410628	1968907793	212417079
1015	-350	-916909716	929448275	1167536129	1198847207
1016	54	-544874635	-1378864125	817134225	597974623
1017	-378	1498973159	-692192314	-70450993	-520939630
1018	78	846021920	-1928854802	1012250534	1120695958
1019	-326	38461758	1744869715	-679222748	645158938
1020	-246	854659154	1315806515	-1428866077	-862438681
1021	424	1021978364	-1921326015	-125214376	257798515
1022	447	1662704379	1016645943	-1717323741	1348409430
1023	-319	376243944	-1263444478	1817174635	645542317
